과정명,난이도,대상,분류1,분류2,세부 내용,과정 분류
"데이터 사이언티스트
금융 데이터분석 개발자
핀테크 데이터 분석 서비스 개발자
산업융합 빅데이터분석가",하,,프로그래밍 기초,파이썬 기초,"- 파이썬 개요 및 장단점
- 자료형 (문자열, 리스트, 튜플, 딕셔너리, 집합, 불 자료형)
- 입력과 출력
- 파이썬을 활용한 기본 수식 계산
- 선택문 반복문 조건문
- 파이썬 함수 정의 및 실습
- 모듈/패키지 활용 실습
- 파일 읽고 쓰기
- 정규표현식 실습
- 파이썬을 활용한 인터넷정보 조회",금융/분석/개발
데이터 사이언티스트,하,,프로그래밍 기초,파이썬 심화,"- 클래스, 모듈 사용
- 외부 패키지 설치
- 예외처리
- 내장 / 외장 함수",분석
데이터 사이언티스트,하,,프로그래밍 기초,파이썬 라이브러리 Pandas,"- 판다스(Pandas)의 기초 소개
- 판다스의 Series와 DataFrame 이해
- 정렬과 행렬 검색, 기타 메소드 사용
- 색인 기능을 통해 데이터 검색
- 판다스에서 새로운 데이터나 컬럼 추가
- 판다스에서의 기초 통계 분석 (groupby, pivot_table)
- 판다스에서의 심화 통계 분석 (평균, 중간값, quantile, 표준편차 등)
- 판다스에서 여러 개의 데이터를 하나로 합치기 (merge, join, concat 등)
- 판다스에서 데이터베이스에 접속해서 데이터를 직접 가져오는 법
- 판다스에서 문자열과 텍스트 데이터를 다루는 법
- 판다스에서 대용량 데이터를 효율적으로 다루는 법",분석
"데이터 사이언티스트
금융 데이터분석 개발자
핀테크 데이터 분석 서비스 개발자
산업융합 빅데이터분석가",하,,프로그래밍 기초,데이터 베이스 & SQL,"- SELECT, INSERT, UPDATE, DELETE 쿼리
- SELECT 쿼리에 조건을 넣는 WHERE 문
- 쿼리를 정렬하는 ORDER BY 옵션
- SELECT 쿼리의 옵션인 AND, OR, IN, BETWEEN 
- 문자열을 검색하는 LIKE 쿼리

- SQL & 크롤링 
- 데이터베이스 개념, 데이터 모델의 개념 
- 테이블 생성, 데이터 입력, 수정, 삭제, 조회 실습

- 데이터베이스 개념 및 등장배경 / 시스템별 장단점
- Maria DB 설치
- 데이터 모델의 개념 (개념 모델, 논리 모델, 관계 모델)
- SQL 기초 문법",금융/분석/개발
데이터 사이언티스트,하,,데이터 시각화,"데이터 시각화 패키지 matplotlib, seaborn ","- matplotlib를 기반으로 한 데이터 시각화
- seaborn으로 범주형(categorical) 데이터 시각화
- seaborn으로 연속형(continuous) 데이터 시각화
- seaborn의 시각화 툴킷인 countplot, pointplot, lineplot, boxplot, violinplot, Implot, scatterplot 살펴보고 과제에 적용",분석
데이터 사이언티스트,중,,데이터분석,머신러닝) scikit-learn,"- 머신러닝의 개념
- 지도학습과 비지도학습의 차이
- 파이썬의 머신러닝 패키지 사이킷런 (Scikit-learn)
- 사이킷런 패키지의 실전 사용법
- 지도학습 중 Classification과 Regression의 차이",분석
데이터 사이언티스트,중,,데이터분석,"전통적 회귀, 예측 모델","- 파이썬의 자료 연산 패키지 넘파이(NumPy)
- 기초적인 Regression 모델 (Linear Regression)
- Gradient Descent를 통해 학습과정 구현
- 기초적인 Classification 모델 (Logistic Regression)
- 학습과정 구현 및 임계값 학습",분석
데이터 사이언티스트,중,,데이터분석,"경사하강법, 정규화","- Bias와 Variance의 개념
- Overfitting과 Underfitting 비교
- 모델을 단순하게 만들어 주는 정규화
- Ridge모델 구현
- Lasso모델 구현",분석
데이터 사이언티스트,중,,데이터분석,"머신러닝 알고리즘 KNN, SVM","- KNN에서 사용되는 거리 함수
- KNN 알고리즘 구현
- Support Vector Machine (SVM) 학습
- Kernel Trick 아이디어 학습
- SVM 알고리즘 구현
- Support Vector Regressor 구현",분석
데이터 사이언티스트,중,,데이터분석,머신러닝 알고리즘 트리 모델 (DecisionTree),"- Decision Tree 개념 
- Gini Impurity 등 의사결정나무에 사용되는 Loss 학습
- Decision Tree의 split 알고리즘 직접 구현
- 실제 학습에 사용될 수 있는 완전한 Decision Tree 알고리즘 구현
- depth와 sample weight 등의 하이퍼파라미터 학습",분석
데이터 사이언티스트,중,,데이터분석,Random Forest와 머신러닝 모델 검증법,"- 모델 앙상블 (Ensemble) 학습
- Bagging 학습
- Decision Tree 알고리즘을 이용해 Random Forest 구현
- 성능 측정 기준인 평가 지표 (Evaluation Metric) 학습
- 성능 검증 방법인 Hold-out, Cross Validation 학습
- Random Forest를 이용해 Kaggle의 Bike Sharing Demand Competition에 참가",분석
데이터 사이언티스트,중상,,데이터분석,머신러닝) Gradient Boosting,"- Boosting 학습
- Exponential Loss와 Adaboost 이해
- Adaboost 알고리즘 구현
- Gradient Boosting 개념 학습
- Gradient Boosting 알고리즘 구현",분석
데이터 사이언티스트,중상,,데이터분석,머신러닝) XGBoost와 LightGBM,"- 최신의 GBM 알고리즘 XGBoost, LightGBM, CatBoost 비교분석
- LightGBM의 학습 속도가 빠른 이유에 대해 학습
- XGBoost, LightGBM의 하이퍼파라미터
- Kaggle에서의 부스팅 알고리즘 활용 사례 소개",분석
데이터 사이언티스트,중상,,데이터분석,머신러닝) Hyperparameter Tuning,"- Grid Search, Random Search 등 하이퍼파라미터 튜닝
- Kaggle Titanic Data Full-Flow 분석 진행",분석
데이터 사이언티스트,중상,,데이터분석,"비지도학습 알고리즘 Clustering, PCA","- 클러스터링의 (Clustering) 개념
- K-Means 클러스터링 알고리즘 직접 구현
- 다양한 종류의 클러스터링 알고리즘 비교 학습
- Kaggle 알코올 소비량 데이터에 클러스터링 알고리즘 적용
- 주성분분석 (Principal Component Analysis, PCA)의 개념",분석
데이터 사이언티스트,중상,,데이터분석,머신러닝 알고리즘,"- 머신러닝이 카테고리에 속할 확률을 어떻게 연산하는지 학습
- Kaggle Otto Group Product Classification에 Boosting 알고리즘 적용",분석
데이터 사이언티스트,중,,데이터분석,딥러닝,"- 비정형 데이터에서의 딥러닝의 강점
- XOR 문제와 인공 신경망
- 신경망의 학습 과정 구현
- Multi-Layer Perceptron 구현",분석
데이터 사이언티스트,중상,,데이터분석,딥러닝) Convolutional Neural Network (CNN),"- Convolution Neural Network 개념
- Convolution 레이어 생성
- Max pooling과 Full network 학습
- CNN의 활용 사례
- TensorFlow, Pytorch, Keras 비교분석",분석
데이터 사이언티스트,중상,,데이터분석,딥러닝) Activation Function 및 Optimizer,"- activation function의 개념
- activation function의 종류 비교분석
- Optimizer 학습
- SGD, Momentum, AdaGrad, Adam 등 차이 비교분석
- Keras를 이용해 MNIST 분류모델 (Single, Multi Layer) 실습",분석
데이터 사이언티스트,중상,,데이터분석,딥러닝) Weight Initialization,"- Weight Initialization 개념
- Bias-Variance 개념 복습
- random initialization 구현
- xavier initialization 구현
- 딥러닝 응용사례 학습",분석
데이터 사이언티스트,중상,,데이터분석,시계열 데이터 및 자연어 데이터 분석,"- 이동평균, 지수평활 등 간단한 시계열 모델 구현
- 페이스북의 Prophet 모델 학습
- 텍스트 마이닝의 개념과 응용 사례 소개
- 정규 표현식 학습
- 웹 크롤링의 원리 이해",분석
금융 데이터분석 개발자,하,,특강,금융 산업에 대한 전반적인 이해,"- 핀테크 / 디지털 금융 트렌드 
- 핀테크 산업의 이해 
- 핀테크 산업 내 기술 
- 마이데이터",금융
금융 데이터분석 개발자,하,,개발 기초,Java개발 & 백엔드 개발,"- Java 개요 
- Spring frameork / MVC 이론 및 실습 
- 웹어플리케이션 개발 실습",개발
금융 데이터분석 개발자,하,,개발 기초,웹/앱 서비스 기획 & 프론트엔드 개발,"- React 기본문법, 컨포넌트, JSX 
- 프로젝트 구성, 컨포넌트, 라우팅 
- React 최적화, 활용, Higher Order Component",개발
금융 데이터분석 개발자,중상,,프로젝트,금융 Open API 활용 실습,"- 지급결제 실습 : 잔액 충전 및 결제 기능 구현 
- 자산관리 실습 : 잔액조회 기반 자산관리 구현",금융
금융 데이터분석 개발자,중상,,프로젝트,개발 미니 프로젝트,- 토스앱 클론코딩,금융/개발
"금융 데이터분석 개발자
핀테크 데이터 분석 서비스 개발자",중,,데이터분석,머신러닝,"- 핀테크 머신러닝 이해 
- 머신러닝을 위한 파이썬 기본 문법(Numpy, Pandas, Seaborn)
- 머신러닝 개요, 활용사례, 주요개념
- Neural Networks 원리 이해 및 실습 
- Support Vector Machine, Clustering 실습
- 머신러닝을 활용한 금융 시계열 분석",금융/분석
"금융 데이터분석 개발자
핀테크 데이터 분석 서비스 개발자",중,,데이터분석,딥러닝,"- 핀테크 딥러닝 이해
- 딥러닝 개요, 활용사례, 주요개념 
- 딥러닝을 활용한 금융 시계열 분석(LSTM, Transformer, CNN)
- 오픈소스 활용한 딥러닝 실습
- CNN 이론 및 실습
- RNN 이론 및 실습
- Auto Encoder 이론 및 실습
- GAN 이론 및 실습",금융/분석
금융 데이터분석 개발자,중상,,데이터분석,추천시스템,"- 핀테크 추천시스템 이해 
- 추천시스템 개요 
- 협업 필터링 / 콘텐츠 기반 추천시스템 
- 금융상품 추천시스템 실습",금융/분석
금융 데이터분석 개발자,중상,,프로젝트,금융 데이터분석,미니 프로젝트 : 대체데이터 활용 시장지표 예측,금융/분석
금융 데이터분석 개발자,중상,,프로젝트,금융 데이터분석,"자율 심화 프로젝트
- 예시1 : 대출 상품 비교 서비스 
- 예시2 : 기업 ESG 평가 및 모니터링 서비스
- 예시3 : 사용자 정보 입력에 따른 보험상품 추천 
- 예시4 : 소비성향 분석에 따른 카드상품 추천시스템
- 예시5 : 코스피 상장사 공시 DB 구축 및 이슈 모니터링",금융/분석
핀테크 데이터 분석 서비스 개발자,하,,프로그래밍 기초,개발환경 구축,"- 파이썬 설치
- 주피터 노트북 설치",분석/개발
"핀테크 데이터 분석 서비스 개발자
산업융합 빅데이터 분석가",하,,프로그래밍 기초,웹크롤링을 활용한 데이터수집,"- 웹크롤링 개념/원리/절차
- Beautifulsoap을 활용한 웹크롤링
- 수집 데이터를 정규표현식으로 정제",분석/개발
핀테크 데이터 분석 서비스 개발자,하,,프로그래밍 기초,Rest API를 활용한 데이터 수집,"- Restful API 개요. 메쏘드, 인증 개념.
- Restful API 개발(GET, PUT, POST, DELETE) 및 테스트 실습
- JSON 파싱, 읽고 쓰기 실습",개발
"핀테크 데이터 분석 서비스 개발자
산업융합 빅데이터분석가",하,,데이터 시각화,BI (Business Intelligence),"- Google Data Studio 사용법
- Google Data Studio를 활용한 GA 데이터 시각화
- Google Data Studio를 활용한 DB 연동 및 시각화",분석
핀테크 데이터 분석 서비스 개발자,하,,프로그래밍 기초 & 데이터 시각화,데이터수집 & 시각화 실습,"- 네이버 뉴스 데이터 수집 및 시각화
- 네이버 블로그 데이터 수집 및 시각화
- 트위터 데이터 수집 및 시각화",분석
핀테크 데이터 분석 서비스 개발자,중상,,데이터분석,금융 데이터분석,"- 금융데이터를 활용한 머신러닝 개요 및 주요활용 사례
- 금융데이터 수집 방법 및 통계적 분석 실습
- 시계열데이터 분석 및 주가 시뮬레이션 분석 실습
- 마켓  Feature 측정
- 포트폴리오 최적화 실습",금융/분석
"핀테크 데이터 분석 서비스 개발자
금융 데이터분석 개발자",중상,,데이터분석,통계 기반 자연어처리,"- 영문에 대한 자연어 전처리 실습 및 결과 분석
- 한글에 대한 자연어 전처리 실습 및 결과 분석
- 개체명 인식 이론 및 실습 (토큰화, 원형 복원, 품사 부착)
- 주제어 찾기 (Topic Modeling) - LDA / LSA
- 문서 요약 (Text Summarize).- Textrank
- 카테고리 분류 (Category Classification)
- 감성분석 (Sentiment Analysis)",분석
"핀테크 데이터 분석 서비스 개발자
금융 데이터분석 개발자",중상,,데이터분석,딥러닝 기반 자연어처리,"- 단어임베딩 - Word2Vec / GloVe / FastText
- 문맥적 단어 임베딩 - ElMo
- 자연어처리 (CNN, RNN, Seq2Seq, Transformer, BERT)",분석
핀테크 데이터 분석 서비스 개발자,중상,,데이터분석,챗봇 구현 실습,"- QA 데이터셋 탐색적 데이터분석 (EDA)
- Transfomer 를 활용한 QA 학습
- Transfomer 를 활용한 QA 파라미터 튜닝
- 챗봇 IO(입출력) 구현",분석
산업융합 빅데이터분석가,중,,데이터분석,R을 활용한 확률/통계,"- R 개요 및 실습환경 구성
- 데이터 탐색 & 범주형 데이터 분석
- 상관분석
- 회귀 분석",분석
산업융합 빅데이터분석가,중상,,프로젝트,마케팅 산업분석,"- 마케팅 데이터 분석 논문 리뷰
- 분석 모델 설계 및 구현
- 시각화 및 결과 발표",분석
산업융합 빅데이터분석가,중상,,프로젝트,산업동향분석,"- 산업동향 분석 논문 리뷰
- 분석 모델 설계 및 구현
- 시각화 및 결과 발표",분석
산업융합 빅데이터분석가,하,,프로젝트,,"- 팀빌딩과 프로젝트 기획
- 프로젝트 분석 모델 선정 및 기획서 작성
- 분석 데이터 수집과 저장
- 빅데이터 분석 및 시각화
- 분석결과 리뷰 및 보완",분석
