질문,대답,태그
교육과정은 무료인가요?,"네, 해당교육은 국비지원 교육으로 중식 및 다과, 강의 도서까지 무료로 제공됩니다.",공통
면접에서는 무엇을 물어보시나요?,"5개월동안 포기하지 않고 꾸준히 학습하실 분을 찾습니다! 학습 및 취창업 의지, 그리고 열심히 하고자 하는 열정 및 태도를 확인하고자 합니다",공통
예치금은 얼마인가요? 돌려받을 수 있나요?,"본 과정은 무료이나, 수료를 위해 20만원의 예치금이 있으며 수료 시 반환됩니다. 과정별 진도율 5% 미만에 과정 이탈 시 반환 가능합니다.",공통
교육을 수료하려면 어떻게 해야 하나요?,"수료 기준은 다음과 같습니다. - 과정 종료 시 출석률 80% 이상인 자 -과정 출석률 30% 이상을 충족하며 조기 취업한 자
",공통
과정 참여 시 준비물은 무엇인가요?,"본 과정은 PC가 제공되지 않기때문에 개별 노트북을 필수로 지참하셔야 합니다. (Windows, Mac Os 모두 가능하나 Windows 사용을 권장합니다)",공통
취업지원은 어떻게 도와주시나요?,"저희 과정은 수료생들을 대상으로 인턴 기회를 제공합니다.또한 과정 종료 후 6개월까지 새싹에서 진행하는 매칭데이, 채용공고 등 다양한 취업정보를 받아보실 수 있고, 상주해계시는 잡코디님을 통해 일대일 취업컨설팅을 받을 수 있습니다.",공통
프로젝트를 해본적이 없는데 해당 내용으로 포트폴리오를 쓸 수 있나요?,프로젝트는 주로 강사 리딩 형식으로 진행이 됩니다. 프로젝트의 완성도를 높이기 위해 보조강사님뿐만 아니라 현직에 계신 멘토님들께서도 멘토링을 진행해주실 예정이니 포트폴리오 작성은 어렵지 않습니다.,공통
실업급여 받는 중인데 본 교육을 받을 수 있나요?,네 실업급여 받으시면서도 본 교육에 참여 가능합니다.,공통
새싹 과정은 한명당 최대 몇번까지 들을 수 있나요?,"새싹 과정은 총 2개 과정까지 수강이 가능합니다. (지원은 여러개 가능) 이 2회에는 수료, 중도포기 모두 포함됩니다.",공통
주말 아르바이트를 하는데 과정 참여가 가능한가요?,평일에 진행되는 과정이지만 취업연계를 위한 과정이기 때문에 주말 아르바이트라도 고용보험에 가입되어 있으신 분들은 과정 참여가 어렵습니다.,공통
과정 여러개 동시 지원이 가능한가요?,원하시는 과정을 동시 지원하는 것은 문제없으나 수강은 1개만 가능합니다.,공통
비전공자도 수강 가능한가요?,네! 사전학습용으로 온라인 강의를 제공해드리니 강의 보고 오시면 많은 도움이 될 것입니다. 대신 복습도 꼭 진행해주시고 모르는 것은 바로 강사님께 문의를 해주셔야 따라가시는데 어렵지 않습니다.,비전공자
비전공자인데 기초지식테스트 풀 수 있나요?,"해당 과정에 관심만 있다면 충분히 풀 수 있으며 총 15문제로 진행됩니다. 출제범위는 프로그래멍 언어 및 머신러닝, ChatGPT 기초 분야에서 나옵니다.",비전공자
과정 참여 전에 미리 공부하고 싶은데 어느 파트를 공부하면 좋을까요?,파이썬 기초를 익히고 오시면 도움이 많이 될 것 같습니다. 수강하시게 되면 저희가 사전학습을 위한 동영상 강의도 제공해드리니 해당 과정을 보고오시면 좋습니다!,비전공자
교육에 참여하면 어떤걸 배우나요 ?,"배우시는 내용은 아래와 같습니다. 상세내용은 아래 커리큘럼을 참고해주세요!
-        프로그래밍 기초(파이썬), 웹크롤링, 데이터베이스
-        데이터 시각화 및 실습
-        머신러닝/딥러닝, 자연어처리
-        생성형 AI 실습, 프롬프트 엔지니어링
-        산업별 자율 심화 프로젝트 : 금융, 이커머스, 마케팅 산업 분야
",특화
교육 후에는 어떤 역량을 얻을 수 있나요?,"수료 후에는 다음과 같은 역량을 쌓을 수 있습니다!
-        LLM 개발을 위한 코딩능력과 코드 분석역량
-        딥러닝/머신러닝 코드를 이해 및 활용 가능한 역량
-        자연어처리 심화 과정 수행역량
-        생성형 AI 모델 활용 역량
-        일정 및 역할관리 등 팀 기반 프로젝트 수행역량
",특화
교육 후에 어디로 취업할 수 있을까요?,"활용범위는 다양하지만 크게 세가지로 말씀드리면 다음과 같습니다
-        인공지능 엔지니어 : 생성형 AI 및 데이터 분석 기술을 활용하여 인공지능 모델을 개발하고 구축하는 역할
-        데이터분석가 : 데이터를 수집, 정제, 분석하여 비즈니스 인텔리전스를 제공하고 의사 결정을 지원하는 역할
-        자연어 처리 엔지니어 : 생성형 AI 기술을 활용하여 자연어 처리 시스템을 개발하고 텍스트 데이터를 분석하는 역할",특화
